"","Student","Training Day","Maneuver","Mission Analysis/Products","Ground Ops","Takeoff","Departure","Basic Aircraft Control","Cross-Check ","Enroute Descent / Recovery","Inflight Checks","Inflight Planning","Clearing / Visual Lookout","Communication","Risk Mgmt / Decision Making","Situational Awareness","Task Management","Emergency Procedures","General Knowledge","PATTERNS","Overhead/Closed Pattern","Visual St-In","Landing","No-Flap Landing","Go-Around","Emergency Landing Pattern","CONTACT","G-Awareness","TP Stalls","Slow Flight","Power On Stalls","Contact Recoveries","Spin Recovery","Aileron Roll","Barrel Roll","Pitchback / Sliceback","Cloverleaf","Cuban Eight","Immelmann","Lazy Eight","Loop","Split S","INSTRUMENTS","Vertical S","Unusual Attitudes","Steep Turns","Intercept / Maintain Arc","Fix to Fix","Holding","Full Procedure Approach","Non-Precision Final","Precision Final","Circling Approach","Missed Approach","Night Landing","BASIC FORMATION","Wing Takeoff","Interval Takeoff","Instrument Trail","G-Warmup / Awareness","Lead Platform","Pitchout (Both)","Fingertip (Wing)","Route (Wing)","Fighting Wing (Wing)","Straight Ahead Rejoin","Turning Rejoin","Overshoot","Echelon (Wing)","Breakout (Wing)","Lost Wingman (Both)","Extended Trail (Wing)","Position Change","Formation Approach (Both)","Formation Landing (Both)","Battle Damage Check","Flt Integrity / Wingman Consideration","TACTICAL FORMATION","Delay 90","Delay 45","Hook Turn","Shackle","Cross Turn","Fluid Turn","Tactical Rejoins","Fluid Maneuvering","Tac Initial","LOW LEVEL","Course Mx","Course Entry","Time Control","Altitude Control","Checkpoint ID","LL GPS Integration","Tactical Maneuvering","LL Lead Change","4 SHIP FORMATION","Four Ship Admin","Fluid 4","Box Formation","Offset Box","Wall","4-Ship Fingertip","Straight Ahead Rejoin","Turning Rejoin","CAF INTRO","Heat to Guns Setup","Heat to Guns Maneuvering ","Fuel Awareness/Management","Advanced Handling","Perch Setups","Maneuver Selection","Offensive Fighter Mnvr Exec","Defensive Fighter Mnvr Exec","CZ Recognition","Air to Air Weapons Employ","HA Lead Turn Exercise","HA Butterfly Setups","HA BFM Flt Analysis","SA Conventional Range","SA Tactical Range Proc","SA Safe-Excape Maneuver","SA Threat Reaction","SA Weapons Employment","Air to Ground Error Analysis","TACS/JFIRE Procedures","Air to Gnd 2-Ship Mutual Supt","MAF INTRO","Mission Management","VFR Arrival","Tanker Procedures","Reciever Procedures","Airdrop Procedures","Crew Coordination","Single Engine Approach","Single Engine GA/Missed Appch","A/R Overrun","A/R Breakaway","FD/AP Operations","FMS Operations","Device"
"21","1","3-Jul","Flight #31","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","G","","G","","","","G","","","G","G","","G","G","G","","G","","","","G","G","G","","","G","G","","G","G","G","G","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"22","1","2-Jul","Flight #30","G","F","G","F","G","G","G","G","G","G","G","G","G","G","G","G","","F","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","G","G","","G","G","G","","G","","G","G","","G","G","","","G","F","","G","G","G","G","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"23","1","2-Jul","Flight #29","G","G","G","G","G","G","G","G","G","G","G","G","F","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","","G","","","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","G","","F","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"24","1","29-Jun","Flight #28","U","G","U","G","G","G","G","E","G","G","U","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","","","","","","","","","","","","","","","","","","","","F","F","","","","","","","","","","","","","","F","","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"25","1","28-Jun","Flight #27","F","G","F","G","G","G","G","G","G","G","G","G","G","G","F","G","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","E","G","","F","","","","F","","","F","G","G","G","G","F","","F","","G","","G","G","F","","","G","G","","G","F","G","G","G","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"26","1","25-Jun","Flight #26","E","G","G","G","G","G","G","F","G","G","G","G","F","F","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","G","U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"27","1","25-Jun","Flight #25","E","G","G","G","G","G","G","G","G","G","E","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","E","G","G","G","G","G","G","G","G","F","","E","E","G","","","","G","","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"28","1","22-Jun","Sim #42","E","G","G","","G","G","G","G","G","G","G","G","G","G","G","E","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","F","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"29","1","18-Jun","Sim #41","G","G","G","G","F","G","G","E","G","G","F","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","G","","F","G","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"30","1","15-Jun","Flight #24","E","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","G","G","G","G","G","","G","G","F","E","F","G","G","","","","G","","F","G","G","F","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"31","1","13-Jun","Sim #40","E","NG","NG","G","G","G","G","G","G","G","G","F","G","G","F","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","F","G","F","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"32","1","12-Jun","Sim #39","G","","","G","G","G","G","G","G","G","G","G","F","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","","","G","","G","","","G","","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"33","1","12-Jun","Sim #38","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","G","G","","","","G","","","G","G","F","G","","","","G","","G","G","","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"34","1","11-Jun","Sim #37","G","G","G","G","G","F","F","G","G","G","F","G","F","G","G","G","","F","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","G","G","F","G","","","F","","F","G","G","F","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"35","1","8-Jun","Sim #35","G","G","G","G","G","G","G","G","G","G","G","G","G","G","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","G","","","G","","","","","","","","","","","","","","","","","","","","","","","","","G","F","G","G","G","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"36","1","8-Jun","Flight #23","G","G","G","G","F","G","G","F","G","G","F","G","G","G","G","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","F","G","F","G","F","","F","","F","","U","U","G","NG","NG","G","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"37","1","7-Jun","Sim #36","G","G","G","G","G","F","G","G","G","F","F","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","G","G","F","F","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"38","1","6-Jun","Sim #34","E","G","G","G","G","F","NG","G","F","F","G","F","G","G","G","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","G","","","","","","","","","","","G","F","","","","","","","G","G","F","G","G","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"39","1","5-Jun","Sim #33","G","G","G","F","F","F","G","F","U","G","F","E","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","G","F","F","F","F","F","F","U","U","F","F","F","F","F","F","G","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"40","1","5-Jun","Flight #22","G","G","G","G","G","G","G","G","G","G","G","G","F","F","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","G","","","G","G","G","F","G","G","G","F","G","F","G","G","G","F","G","F","G","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"41","1","4-Jun","Sim #32","G","G","F","G","G","G","","F","G","G","U","G","G","G","G","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","F","G","G","G","G","","G","G","","F","G","G","F","G","","","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"42","1","4-Jun","Sim #31","E","E","E","E","G","G","G","G","G","G","G","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","","F","G","","","","","","","","F","G","","","","G","","","","","","","","","","","","F","G","F","G","F","NG","NG","NG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"43","1","4-Jun","Flight #21","E","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","E","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"44","1","2-Jun","Flight #20","E","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"45","1","1-Jun","Flight #19","E","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"46","1","1-Jun","Flight #18","E","F","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","E","","","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","E","F","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"47","1","31-May","Sim #30","G","","","","G","G","","G","G","G","G","G","G","G","G","F","","","","G","","G","","","","","","","","","","","","","","","","","","","","","","G","","G","F","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"48","1","30-May","Flight #17","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","E","","","G","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","F","U","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"49","1","29-May","Flight #16","U","U","G","E","G","G","F","G","G","U","F","U","F","F","U","G","","G","","G","","G","G","","E","G","","G","E","E","G","","","","F","","F","","","","","","","","","","","G","G","","","","","","G","","","G","","F","F","","","","","","","","","G","","","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"50","1","25-May","Flight #15","G","G","E","G","F","G","G","G","F","G","G","F","G","F","G","G","","G","","G","","","","","G","G","","G","E","G","","G","","G","F","F","F","G","G","","","","","","","","","","","","","","","F","","","","","","U","F","","","","","","","","","","","","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"51","1","23-May","Sim #29","G","","G","G","F","F","NG","F","F","F","F","U","F","F","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","F","F","U","U","","F","","U","","F","","F","U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"52","1","23-May","Flight #14","G","G","E","E","G","G","G","E","F","G","G","G","G","F","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","F","E","","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"53","1","21-May","Sim #28","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","F","","","","","E","G","","G","","","G","G","","G","","","G","","","","","","","","F","","","","G","","E","","","F","","","","F","","","","","F","","F","","F","","","F","","","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"54","1","18-May","Sim #27","G","G","G","G","G","G","G","E","G","G","G","G","G","G","G","F","","","","","","","","","F","G","","G","G","G","G","","","F","F","G","G","G","G","","","","","","","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S"
"55","1","18-May","Flight #13","G","G","F","G","G","G","G","G","G","G","G","G","F","G","G","G","","G","","G","","G","G","","F","G","","G","G","G","G","F","","F","G","G","F","G","G","","","","","","","","","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
